ID;Estado;Prioridad;Keyword principal;Keywords secundarias;Título;Slug;Categoría;Tipo;Intención;URL actual;URL propuesta;Acción;Impresiones;Clics;CTR;Posición;Canibalización;Contenido relacionado;Enlaces internos;Fecha propuesta;Notas;Responsable
E01;POR_OPTIMIZAR;P2;poemas cristianos para adolescentes;"adolescentes cristianos; poemas para adolescentes; identidad cristiana";Como el Viento que Pasa;como-el-viento-que-pasa-manos-que-no-sueltan;Poemas Cristianos Para Adolescentes;colección de poemas;;/poemas/como-el-viento-que-pasa-manos-que-no-sueltan/;/poemas/como-el-viento-que-pasa-manos-que-no-sueltan/;OPTIMIZE;;;;;ninguna;cat Adolescentes (única pieza);cat Adolescentes;;"Título 100% artístico sin keyword; añadir bloque Explorar (0 enlaces internos)";Rodrigo
E02;PUBLICADO;P3;poemas de amar a Dios;"amar a Dios; poema cristiano; amor bíblico";Poema Cristiano sobre Amar a Dios;poemas-amar-a-dios;Poemas Bíblicos de Amor;colección de poemas;;/poemas/poemas-amar-a-dios/;/poemas/poemas-amar-a-dios/;OPTIMIZE;;;;;baja;cat Amor;añadir Explorar (0 enlaces);;H1/title alineados + bloque Explorar (2026-08-31);Rodrigo
E03;PUBLICADO;P3;poemas bíblicos del hogar;"poemas bíblicos del hogar; poemas de amor cristiano familia; amor en el hogar cristiano";Poemas Bíblicos del Hogar | Versos de amor para la familia cristiana;poemas-biblicos-del-hogar;Poemas Bíblicos de Amor;colección de poemas;;/poemas/poemas-biblicos-del-hogar/;/poemas/poemas-biblicos-del-hogar/;KEEP;;;;;baja;su categoría;ya enlazado;;;Rodrigo
E04;POR_REVISAR;P3;biblical poems for mothers day;"biblical poems; mother day";Biblical Poems for Mothers Day;biblical-mothers-day-poems;Biblical Poems for Mothers Day;colección de poemas;;/poemas/biblical-mothers-day-poems/;/poemas/biblical-mothers-day-poems/;KEEP;;;;;ninguna (EN);cat Mothers Day EN;cat EN;;"URL nueva (jul-2026, quitado slug conflictivo): vigilar indexación; contenido EN fuerte (10 poemas)";Rodrigo
E05;PUBLICADO;P3;poema para tener esperanza;"esperanza; fe; dios";Tres Cantos para Tener Esperanza;poema-para-tener-esperanza;Poemas Cristianos de Esperanza;colección de poemas;;/poemas/poema-para-tener-esperanza/;/poemas/poema-para-tener-esperanza/;OPTIMIZE;;;;;baja;cat Esperanza;añadir Explorar (0 enlaces);;H1/title alineados + bloque Explorar (2026-08-31);Rodrigo
E06;PUBLICADO;P3;poemas del hogar cristiano;"poemas del hogar cristiano; poema cristiano del hogar; esperanza en familia";Poemas del Hogar Cristiano | Versos de esperanza para la familia;poemas-del-hogar-cristiano;Poemas Cristianos de Esperanza;colección de poemas;;/poemas/poemas-del-hogar-cristiano/;/poemas/poemas-del-hogar-cristiano/;KEEP;;;;;baja;su categoría;ya enlazado;;;Rodrigo
E07;PUBLICADO;P3;poemas bíblicos de familia;"poemas bíblicos de familia; poemas de fe en familia; hogar cristiano";Poemas Bíblicos de Familia | Versos de fe para el hogar cristiano;poemas-biblicos-de-familia;Poemas Cristianos de Fe;colección de poemas;;/poemas/poemas-biblicos-de-familia/;/poemas/poemas-biblicos-de-familia/;KEEP;;;;;baja;su categoría;ya enlazado;;;Rodrigo
E08;PUBLICADO;P3;poemas de fe en familia;"poemas de fe en familia; poemas bíblicos de fe; familia creyente";Poemas de Fe en Familia | Versos bíblicos para el hogar creyente;poemas-de-fe-en-familia;Poemas Cristianos de Fe;colección de poemas;;/poemas/poemas-de-fe-en-familia/;/poemas/poemas-de-fe-en-familia/;KEEP;;;;;baja;su categoría;ya enlazado;;;Rodrigo
E09;PUBLICADO;P2;poemas de fe;"fe en Dios; poema cristiano; poemas bíblicos de fe";Poema Cristiano sobre la Fe en Dios;poemas-de-fe;Poemas Cristianos de Fe;colección de poemas;;/poemas/poemas-de-fe/;/poemas/poemas-de-fe/;OPTIMIZE;;;;;media con categoría Poemas Cristianos de Fe;cat Fe;añadir Explorar (0 enlaces);;Diferenciado a 'poemas de fe en Dios' + bloque Explorar (2026-08-31);Rodrigo
E10;PUBLICADO;P3;poemas sobre valores cristianos en familia;"poemas valores cristianos familia; poema cristiano fidelidad en el hogar; valores bíblicos en familia";Poemas sobre Valores Cristianos en Familia | Versos bíblicos del hogar;poemas-valores-cristianos-en-familia;Poemas Cristianos de Fe;colección de poemas;;/poemas/poemas-valores-cristianos-en-familia/;/poemas/poemas-valores-cristianos-en-familia/;KEEP;;;;;baja;su categoría;ya enlazado;;;Rodrigo
E11;PUBLICADO;P1;poemas cristianos para niños;"poemas para niños; poemas cristianos para niños; versos para niños";Poemas Cristianos para Niños | Versos bíblicos para el corazón infantil;poemas-para-ninos-cristianos;Poemas para Niños;colección de poemas;;/poemas/poemas-para-ninos-cristianos/;/poemas/poemas-para-ninos-cristianos/;REWRITE;;;;;ninguna;cat Niños (única pieza);home CategoryGrid;;Reescrito y publicado 2026-08-31: 4 poemas con estructura canonica (antes 93 palabras sin poemas);Rodrigo
E12;POR_OPTIMIZAR;P2;poemas cristianos para jóvenes;"poemas para jóvenes; poemas cristianos para jóvenes; poemas bíblicos para jóvenes";Poemas Cristianos para Jóvenes | Versos bíblicos para las nuevas generaciones;poemas-jovenes;Poemas Cristianos para Jóvenes;colección de poemas;;/poemas/poemas-jovenes/;/poemas/poemas-jovenes/;OPTIMIZE;306;11;3,6% (URL de categoría);;media: H2 repite el H1 literal;"poemas-de-reflexion-para-jovenes; cat Jóvenes";cat Jóvenes;;"El primer H2 duplica el H1; los clics GSC los recibe la URL de la categoría";Rodrigo
E13;PUBLICADO;P2;poemas bíblicos para la mujer;"mujer cristiana; poemas bíblicos";Poemas Cristianos para la Mujer;poemas-biblicos-mujer;Poemas Cristianos para la Mujer;colección de poemas;;/poemas/poemas-biblicos-mujer/;/poemas/poemas-biblicos-mujer/;OPTIMIZE;;;;;baja;poemas-para-la-esposa-cristiana;cat Mujer;;Title diferenciado de la categoria, sin tabla de contenido, bloque Explorar (2026-08-31);Rodrigo
E14;PUBLICADO;P3;poemas para la esposa cristiana;"poemas para la esposa cristiana; poema cristiano para la esposa fiel; mujer creyente en el hogar";Poemas para la Esposa Cristiana | Versos bíblicos de amor y gratitud;poemas-para-la-esposa-cristiana;Poemas Cristianos para la Mujer;colección de poemas;;/poemas/poemas-para-la-esposa-cristiana/;/poemas/poemas-para-la-esposa-cristiana/;KEEP;;;;;baja;su categoría;ya enlazado;;;Rodrigo
E15;PUBLICADO;P1;poemas cristianos para la familia;"familia cristiana; poemas para la familia; unidad familiar";Poemas Cristianos para la Familia | Versos bíblicos de unidad, fe y consuelo;poemas-cristianos-para-la-familia;Poemas Cristianos Sobre La Familia;colección de poemas;;/poemas/poemas-cristianos-para-la-familia/;/poemas/poemas-cristianos-para-la-familia/;KEEP;738;24;3,3%;;controlada (union-familiar retargetizado);"union-familiar; cat Familia";desde cat Familia y hogar cluster;;DEFENDER: URL con tracción;Rodrigo
